epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.4839,1.72657,38.7923,1.21857,0.00634,0.22424,0.00347,0.00172,1.80113,39.6185,1.20953,0.00065,0.00065,0.00065
2,117.247,1.54256,1.89266,1.06684,0,0,0,0,nan,nan,nan,0.00130798,0.00130798,0.00130798
3,150.438,1.50337,1.28245,1.09546,0.00115,0.24242,0.00028,0.00013,2.72739,102.093,2.94262,0.00195715,0.00195715,0.00195715
4,183.211,1.36549,1.09399,1.06079,0.68441,0.71212,0.7226,0.40512,1.49868,1.83864,1.25424,0.0019604,0.0019604,0.0019604
5,216.276,1.29211,1.00347,1.01604,0.86574,0.85758,0.92548,0.60545,1.17866,1.11487,1.04062,0.0019472,0.0019472,0.0019472
6,249.41,1.20932,0.87751,0.98002,0.37089,0.32121,0.28878,0.14965,2.08825,2.6619,1.7411,0.001934,0.001934,0.001934
7,282.31,1.13,0.84583,0.96847,0.89775,0.84545,0.9359,0.67931,0.96303,0.80231,0.97073,0.0019208,0.0019208,0.0019208
8,315.625,1.08261,0.80292,0.94391,0.8778,0.69697,0.80928,0.53707,1.25971,1.15118,1.07868,0.0019076,0.0019076,0.0019076
9,348.663,1.09168,0.79353,0.95852,0.87836,0.87879,0.94685,0.68086,1.00989,0.75724,0.97527,0.0018944,0.0018944,0.0018944
10,381.828,1.07644,0.76988,0.9595,0.89877,0.91476,0.96686,0.71814,0.93809,0.72579,0.9692,0.0018812,0.0018812,0.0018812
11,414.847,1.04688,0.73449,0.92173,0.90253,0.94242,0.97096,0.67303,1.02179,0.71007,0.98565,0.001868,0.001868,0.001868
12,447.772,1.00126,0.72266,0.92016,0.90189,0.8914,0.94994,0.70291,0.88231,0.70042,0.93218,0.0018548,0.0018548,0.0018548
13,480.652,0.98156,0.70962,0.90669,0.93198,0.96061,0.97201,0.74564,0.84944,0.6172,0.91298,0.0018416,0.0018416,0.0018416
14,513.954,0.97122,0.68833,0.90713,0.91786,0.92121,0.96911,0.70917,0.95028,0.65201,0.97095,0.0018284,0.0018284,0.0018284
15,547.066,1.04553,0.70475,0.93017,0.9062,0.9661,0.97328,0.74253,0.86785,0.62994,0.92065,0.0018152,0.0018152,0.0018152
16,579.919,0.97181,0.67721,0.90785,0.91303,0.94545,0.97696,0.72635,0.8843,0.61815,0.91456,0.001802,0.001802,0.001802
17,612.759,0.98372,0.66036,0.91934,0.94028,0.95418,0.97334,0.73272,0.85708,0.59785,0.93313,0.0017888,0.0017888,0.0017888
18,645.583,0.95214,0.66135,0.89958,0.89466,0.87507,0.93971,0.68847,0.95127,0.72256,0.96846,0.0017756,0.0017756,0.0017756
19,678.381,0.90221,0.63229,0.89561,0.95195,0.90053,0.96619,0.70963,0.93977,0.65114,0.92987,0.0017624,0.0017624,0.0017624
20,711.082,0.94303,0.63678,0.89947,0.94518,0.9404,0.97834,0.72444,0.92259,0.59848,0.92246,0.0017492,0.0017492,0.0017492
21,743.864,0.91801,0.61468,0.89088,0.915,0.94593,0.97421,0.73816,0.8688,0.58628,0.9402,0.001736,0.001736,0.001736
22,776.933,0.90751,0.63217,0.88661,0.91404,0.96668,0.98141,0.72636,0.92422,0.58493,0.91672,0.0017228,0.0017228,0.0017228
23,809.703,0.90454,0.6268,0.89723,0.91395,0.91818,0.94994,0.70858,0.84789,0.68174,0.93314,0.0017096,0.0017096,0.0017096
24,842.723,0.91278,0.63927,0.89435,0.93788,0.95455,0.98235,0.76452,0.79337,0.57873,0.90604,0.0016964,0.0016964,0.0016964
25,875.785,0.88119,0.6153,0.88212,0.90379,0.96785,0.96995,0.75476,0.79707,0.58051,0.90764,0.0016832,0.0016832,0.0016832
26,908.657,0.88073,0.59075,0.87763,0.95969,0.93795,0.97915,0.75105,0.84419,0.57743,0.89997,0.00167,0.00167,0.00167
27,941.589,0.89692,0.6154,0.88836,0.95243,0.97273,0.98048,0.77491,0.79111,0.5472,0.89611,0.0016568,0.0016568,0.0016568
28,974.669,0.85655,0.58337,0.87337,0.92297,0.79885,0.88718,0.68582,0.89219,0.84804,0.96406,0.0016436,0.0016436,0.0016436
29,1007.56,0.87795,0.60115,0.86735,0.95277,0.92424,0.9771,0.76635,0.79551,0.58225,0.91399,0.0016304,0.0016304,0.0016304
30,1040.44,0.84697,0.56456,0.87195,0.93742,0.95758,0.98301,0.78072,0.76127,0.52521,0.89244,0.0016172,0.0016172,0.0016172
31,1073.44,0.84014,0.55424,0.87218,0.94573,0.94545,0.98069,0.77492,0.77762,0.55426,0.88693,0.001604,0.001604,0.001604
32,1106.42,0.84901,0.56041,0.86822,0.94102,0.96694,0.98852,0.76661,0.84351,0.53607,0.88538,0.0015908,0.0015908,0.0015908
33,1139.2,0.83614,0.56309,0.87097,0.93876,0.96061,0.98438,0.79239,0.72615,0.51007,0.88049,0.0015776,0.0015776,0.0015776
34,1172.58,0.84129,0.56857,0.87086,0.9136,0.9613,0.97938,0.77169,0.78267,0.55221,0.89773,0.0015644,0.0015644,0.0015644
35,1205.36,0.82445,0.55996,0.86889,0.95704,0.96667,0.98914,0.79318,0.75866,0.499,0.87633,0.0015512,0.0015512,0.0015512
36,1238.46,0.81601,0.53791,0.86033,0.95914,0.92477,0.98195,0.75128,0.82268,0.53648,0.90798,0.001538,0.001538,0.001538
37,1271.31,0.83459,0.5539,0.87244,0.942,0.98485,0.97961,0.78614,0.73986,0.53685,0.87885,0.0015248,0.0015248,0.0015248
38,1304.3,0.81339,0.53539,0.86811,0.93641,0.98177,0.98512,0.81057,0.67854,0.48832,0.86796,0.0015116,0.0015116,0.0015116
39,1337.36,0.84484,0.56066,0.86759,0.96255,0.93467,0.98193,0.78907,0.74183,0.50212,0.88328,0.0014984,0.0014984,0.0014984
40,1370.35,0.83554,0.56255,0.86834,0.96395,0.97235,0.98876,0.79204,0.73405,0.47812,0.88073,0.0014852,0.0014852,0.0014852
41,1403.32,0.85167,0.561,0.86404,0.96023,0.95118,0.98609,0.79848,0.72343,0.50209,0.8692,0.001472,0.001472,0.001472
