epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2824,2.44344,75.2448,1.56196,0.00229,0.23894,0.00071,0.0002,2.74011,249.98,2.41416,0.000650407,0.000650407,0.000650407
2,58.9194,2.30901,6.21459,1.61424,0.00025,0.06195,2e-05,1e-05,nan,nan,nan,0.00131186,0.00131186,0.00131186
3,72.6753,2.59513,4.85943,1.88973,0.64483,0.25707,0.41646,0.13065,2.62052,2.57578,1.98421,0.00196803,0.00196803,0.00196803
4,86.7018,2.58633,3.06693,1.834,0.24166,0.15044,0.13377,0.03689,3.01798,3.14683,2.13569,0.00197624,0.00197624,0.00197624
5,100.733,2.47775,2.1977,1.68614,0.23522,0.31029,0.17374,0.04958,3.07817,3.38899,3.10595,0.00196832,0.00196832,0.00196832
6,114.495,2.31318,1.84827,1.62039,0.43416,0.46903,0.4056,0.14159,2.37304,1.67817,1.68876,0.0019604,0.0019604,0.0019604
7,128.499,2.19191,1.68621,1.52386,0.52371,0.55466,0.55482,0.21869,2.06815,1.76923,1.54142,0.00195248,0.00195248,0.00195248
8,142.665,2.06928,1.51615,1.4628,0.59642,0.53097,0.53177,0.19065,2.14749,1.80958,1.57766,0.00194456,0.00194456,0.00194456
9,156.652,2.0946,1.54189,1.43802,0.67051,0.52226,0.52144,0.20088,2.24287,2.0845,1.76347,0.00193664,0.00193664,0.00193664
10,170.411,2.07981,1.58843,1.45468,0.67064,0.57522,0.58598,0.2727,1.9414,1.55216,1.49827,0.00192872,0.00192872,0.00192872
11,184.537,1.93554,1.53736,1.3942,0.63033,0.73451,0.6625,0.28869,1.75082,1.40669,1.38212,0.0019208,0.0019208,0.0019208
12,198.735,1.86467,1.40174,1.35724,0.81505,0.62399,0.76823,0.3853,1.70922,1.17355,1.395,0.00191288,0.00191288,0.00191288
13,213.183,1.78337,1.27661,1.28423,0.65822,0.55752,0.66365,0.3282,1.69674,1.55119,1.28636,0.00190496,0.00190496,0.00190496
14,227.247,1.80529,1.26009,1.32027,0.60208,0.53982,0.60637,0.27468,1.87854,1.52258,1.44509,0.00189704,0.00189704,0.00189704
15,241.048,1.78211,1.29719,1.28283,0.77799,0.74428,0.80095,0.34358,1.74362,1.49567,1.27917,0.00188912,0.00188912,0.00188912
16,254.873,1.7777,1.31855,1.26073,0.80131,0.74336,0.82611,0.40609,1.62647,1.20024,1.28599,0.0018812,0.0018812,0.0018812
17,269.109,1.77475,1.19319,1.25723,0.81264,0.74336,0.79724,0.42868,1.57852,1.13106,1.26203,0.00187328,0.00187328,0.00187328
18,283.526,1.69193,1.23012,1.24225,0.7191,0.65487,0.69626,0.33456,1.65738,1.2636,1.27794,0.00186536,0.00186536,0.00186536
19,297.512,1.68233,1.17508,1.19963,0.70088,0.69027,0.71716,0.37434,1.63468,1.25632,1.34018,0.00185744,0.00185744,0.00185744
20,311.322,1.72847,1.16454,1.21125,0.71204,0.84071,0.80633,0.43565,1.52676,1.13896,1.24978,0.00184952,0.00184952,0.00184952
21,325.642,1.71891,1.15175,1.18684,0.78957,0.83186,0.86004,0.44139,1.68381,1.04232,1.25904,0.0018416,0.0018416,0.0018416
22,340.05,1.61996,1.10288,1.19005,0.76177,0.80531,0.86382,0.44908,1.58096,1.00964,1.21074,0.00183368,0.00183368,0.00183368
23,354.171,1.57552,1.07158,1.13826,0.84487,0.72297,0.84032,0.48303,1.49685,1.02749,1.22387,0.00182576,0.00182576,0.00182576
24,368.5,1.54902,1.03432,1.14696,0.69151,0.76106,0.76131,0.40027,1.60543,1.08464,1.25844,0.00181784,0.00181784,0.00181784
25,382.6,1.5262,1.04119,1.13549,0.7847,0.83861,0.88193,0.47364,1.40166,0.951,1.17894,0.00180992,0.00180992,0.00180992
26,396.347,1.58209,1.00643,1.10404,0.8375,0.77539,0.83838,0.4512,1.49992,0.97514,1.15659,0.001802,0.001802,0.001802
27,410.314,1.48917,0.98491,1.13972,0.78473,0.87105,0.88461,0.48842,1.47508,0.91674,1.16312,0.00179408,0.00179408,0.00179408
28,424.373,1.50274,0.98302,1.14808,0.81772,0.8734,0.90244,0.51736,1.41257,0.93209,1.13962,0.00178616,0.00178616,0.00178616
29,438.651,1.48024,0.99841,1.11475,0.72204,0.85057,0.86498,0.49328,1.39553,1.01623,1.13779,0.00177824,0.00177824,0.00177824
30,452.642,1.50916,0.97408,1.12941,0.78012,0.88496,0.86999,0.44299,1.66062,1.06874,1.23044,0.00177032,0.00177032,0.00177032
31,466.287,1.51506,0.95585,1.09332,0.84168,0.89381,0.92695,0.57974,1.32975,0.90552,1.10305,0.0017624,0.0017624,0.0017624
32,480.565,1.44945,0.9311,1.08134,0.87015,0.88957,0.9403,0.57095,1.36236,0.89497,1.09268,0.00175448,0.00175448,0.00175448
33,494.237,1.39274,0.91814,1.06408,0.85885,0.89381,0.94086,0.54637,1.34643,0.87284,1.09448,0.00174656,0.00174656,0.00174656
34,508.09,1.52176,0.96378,1.10683,0.8172,0.90265,0.90924,0.5288,1.3329,0.83008,1.09172,0.00173864,0.00173864,0.00173864
35,521.768,1.4374,0.87764,1.0914,0.8592,0.87611,0.93019,0.55677,1.33135,0.82956,1.10424,0.00173072,0.00173072,0.00173072
36,535.615,1.44715,0.89304,1.08314,0.83177,0.88496,0.93203,0.54976,1.39267,0.91243,1.08844,0.0017228,0.0017228,0.0017228
37,549.484,1.51563,0.94938,1.14457,0.81822,0.82301,0.91708,0.5141,1.34581,0.84435,1.10017,0.00171488,0.00171488,0.00171488
38,563.221,1.45012,0.90709,1.05628,0.83056,0.78085,0.8948,0.49534,1.38332,0.94546,1.10604,0.00170696,0.00170696,0.00170696
39,577.071,1.39458,0.89288,1.0764,0.88621,0.9115,0.95044,0.55205,1.31947,0.81949,1.06675,0.00169904,0.00169904,0.00169904
40,590.788,1.34897,0.85878,1.04638,0.90659,0.85891,0.95196,0.58529,1.26213,0.83115,1.04055,0.00169112,0.00169112,0.00169112
41,604.838,1.35026,0.84799,1.02455,0.92697,0.78635,0.90379,0.57498,1.26629,0.95902,1.06923,0.0016832,0.0016832,0.0016832
42,618.912,1.3951,0.87931,1.05463,0.85082,0.85805,0.88923,0.53916,1.40094,0.85436,1.11245,0.00167528,0.00167528,0.00167528
43,632.675,1.41574,0.93692,1.03839,0.76539,0.90265,0.87872,0.49019,1.37791,0.87364,1.07822,0.00166736,0.00166736,0.00166736
